metodo,tendencia_mgL_ano,tendencia_pvalor,tendencia_ic90_baixo,tendencia_ic90_alto,rmse_holdout,mae_holdout,r2_holdout,forecast_10y,ci90_low_10y,ci90_high_10y,forecast_15y,ci90_low_15y,ci90_high_15y,forecast_20y,ci90_low_20y,ci90_high_20y,script,tratamento_nd_bod,data_execucao,ordem_sarima,hiperparametros,prob_tendencia_positiva,tempo_execucao_s,git_commit,mase_holdout,smape_holdout,cv_rmse_media,cv_rmse_desvio,cv_mae_media,cv_mae_desvio,cv_mase_media,cv_mase_desvio,cv_smape_media,cv_smape_desvio,backtest_mae_36m,backtest_n_origens_36m,backtest_mae_60m,backtest_n_origens_60m,ic90_width_10y,ic90_width_15y,ic90_width_20y
naive,0.0,,,,41.9662562860528,33.25,-0.1202607969679703,716.0,-404.9569664697867,1836.9569664697867,716.0,-656.8862957345448,2088.8862957345445,716.0,-869.2725448181752,2301.2725448181754,script_08_baselines,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:43:32,,,,,,0.4363203307567859,4.72736931952391,70.02557680079289,25.17981815155384,56.46666666666668,24.42261019811128,0.7592564352706823,0.340822975916489,8.007597736551348,3.6286197373572873,111.33333333333331,15.0,71.63636363636364,11.0,2241.913932939573,2745.772591469089,3170.545089636351
naive_sazonal,0.0,,,,87.83222643198793,71.08333333333333,-3.90711758391752,716.0,225.1075143485733,1206.8924856514268,716.0,114.781945793746,1317.218054206254,716.0,21.773189124712417,1410.2268108752876,script_08_baselines,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:43:32,,,,,,0.9327850680088682,10.617944985915283,77.64297575800634,24.61964786443372,65.13333333333334,23.97869424672198,0.8729490147226174,0.3310446118624059,9.242689184172708,3.579167455872885,111.33333333333331,15.0,71.63636363636364,11.0,981.7849713028536,1202.436108412508,1388.4536217505752
ets_holt_winters,7.927106319763425,0.0,,,53.370693909046494,45.03424921828832,-0.8118589268627552,787.9546840217345,377.2462922952806,1198.6630757481882,827.5902156205516,325.9900562936344,1329.1903749474689,867.2257472193687,287.9957836248724,1446.4557108138652,script_08_baselines,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:43:32,,"{'error': 'add', 'trend': 'add', 'seasonal': None}",,,,0.5909581508062283,6.47186487855948,84.3922080090285,31.954909783291807,70.48093454064687,33.42301183755218,0.957720938007953,0.4820717865105942,9.723161940997691,4.552919145458985,153.41091697022438,15.0,156.89388420484218,11.0,821.4167834529076,1003.2003186538344,1158.4599271889929
theta,1.871808474108993,0.0,,,55.24094454169577,46.93132743497921,-0.941068549120976,726.8748471511964,-334.6612971781823,1788.410991480575,736.2338895217414,-564.3122978362711,2036.7800768797536,745.5929318922864,-756.3996730113603,2247.585536795933,script_08_baselines,nao_aplicavel_metodo_univariado_tds,2026-08-13T11:43:32,,"{'deseasonalize': False, 'period': 12}",,,,0.6158524002792527,6.755022370706651,75.09636389377684,29.8553256939685,61.60226605951632,30.06070546874593,0.8318761590579593,0.4221697875403525,8.651488699295946,4.317928416644013,117.507962578155,15.0,95.63754533921168,11.0,2123.0722886587573,2601.092374716025,3003.9852098072934
svr,-1.739879462614203,6.256359670413827e-29,,,38.862433438513975,31.22482003245004,0.0393201895996526,707.6009037349594,635.2881291056666,781.9957527712401,704.0049194261537,616.0697298799251,783.2508467050112,702.9697269204383,629.2969916119455,776.870429965849,script_09_svr_gp,nao_aplicavel_metodo_univariado_tds,2026-08-13T19:53:04,,"{'svr__C': 10, 'svr__epsilon': 0.5, 'svr__gamma': 'scale'}",,,,0.4899644312917926,5.291131128339496,69.77224943907149,17.36243088323409,58.96415580545128,14.565406395301965,0.7915449313342323,0.2067820110286729,8.376560223290028,2.2742052504664034,62.78934336522,15.0,33.07613789626122,11.0,146.70762366557346,167.18111682508606,147.5734383539035
gaussian_process,3.743706712541596,0.0047251492457397,,,146.50333314266578,139.71055229916354,-12.652547380126476,691.5611054750101,248.251161571365,1134.8710493786552,691.7993897299407,248.46012490552263,1135.1386545543587,691.7994479590625,248.4601780556572,1135.1387178624675,script_09_svr_gp,nao_aplicavel_metodo_univariado_tds,2026-08-13T19:53:04,,"3.16**2 * RBF(length_scale=2.7) + 1**2 * ExpSineSquared(length_scale=1.26e+04, periodicity=1) + WhiteKernel(noise_level=1)",,,,2.033654490455339,24.69763430471777,99.2376754961914,36.74174995155394,85.46801446991783,38.52474208245264,1.1476231985472576,0.5070188503916655,12.239033918323734,6.255740630091953,149.4931719506762,15.0,109.33070484635992,11.0,886.6198878072902,886.678529648836,886.6785398068106
detrend_rf,3.743706712541596,0.0047251492457397,,,49.81481876286093,41.35406038956585,-0.5784680309309536,743.4910091350504,641.0388326521318,845.943185617969,762.2095426977584,636.7317649873978,887.6873204081189,780.9280762604664,636.0388187836809,925.8173337372518,script_10_detrend_arvore,nao_aplicavel_metodo_univariado_tds,2026-08-13T19:56:50,,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",,,,0.4408045613651031,4.789241281033728,76.70232415442901,23.534887342523486,66.38716689585667,21.403570583732748,0.8998355034364088,0.3265891330882924,9.221433888476032,2.80865070160741,120.81125151834208,15.0,128.41251296572182,11.0,204.9043529658373,250.9555554207212,289.7785149535709
detrend_xgb,3.743706712541596,0.0047251492457397,,,51.49276508459575,41.75937065008168,-0.6865961634586537,752.8350697965457,579.3593987512107,926.3107408418806,780.4521481476143,567.9887097236259,992.9155865716026,790.2721369219616,544.9404901878753,1035.603783656048,script_10_detrend_arvore,nao_aplicavel_metodo_univariado_tds,2026-08-13T19:56:50,,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300}",,,,0.4649904953913445,5.02598075520842,75.20565348068983,23.165971938743937,63.63954377043691,21.604449981731563,0.8618708047951633,0.3215662837766981,8.858578155895776,3.028457116762453,127.72796898458188,15.0,117.83450760691962,11.0,346.95134209066987,424.9268768479767,490.66329346817264
sarimax_cloreto,8.110698245227885,4.230158128253315e-32,,,49.71919374613651,38.281636609431104,-0.5724137618738325,778.0904320567763,271.44485758553805,1284.7360065280145,819.7969029907997,142.4009741643249,1497.1928318172745,861.5033739248232,17.830060084927027,1705.1766877647194,script_11_multivariado_cloreto,nao_aplicavel_metodo_univariado_tds,2026-08-13T19:58:35,"order=(0, 1, 2) seasonal_order=(0, 1, 1, 12) trend=None","{'coef_cloreto': 1.1276, 'coef_cloreto_p': 0.0}",,,,0.502347559318438,5.474039435309183,79.90036002101479,30.33742293690693,69.40749517077869,28.24976043357885,0.943707537901574,0.420739310003162,9.491826233142422,3.6014550458547827,141.55982978630894,15.0,122.23578580402857,11.0,1013.2911489424764,1354.7918576529496,1687.3466276797924
hibrido_arima_prophet,3.764605515278371,4.944853783547377e-13,,,46.39794287761784,37.405281941571296,-0.36935525579021,714.3921160886798,130.06382105738055,1501.5213012953918,738.9110697999715,-94.31822858068516,1832.2522992305392,763.4802381240854,-332.29084011568887,2176.5738590626247,script_12_hibrido_arima_prophet,nao_aplicavel_metodo_univariado_tds,2026-08-13T20:00:00,"order=(0, 1, 2) seasonal_order=(0, 1, 1, 12) trend=None",,,,,0.4908476688360066,5.34653280875379,88.55787046529862,32.12555650707623,77.21228009263878,26.55757919708692,1.0468463896101123,0.3999019659661715,10.631346748535892,3.4898469276397,165.7658955218761,15.0,157.1243307429954,11.0,1371.4574802380112,1926.5705278112243,2508.864699178313
lstm,6.837245399081004,2.2797928143412308e-05,,,71.5289015314502,57.20742675948566,-2.254481390469292,786.5105505283755,594.7571002921334,808.7465075153241,720.5242982701997,615.3339429357468,808.1047064049384,795.4101711777089,610.3755103890179,807.9992379295653,script_13_deep_learning,nao_aplicavel_metodo_univariado_tds,2026-08-13T20:04:00,,"{'janela': 12, 'hidden_size': 32, 'epochs': 200}",,,,0.686088420716862,7.386553288736207,70.02513314510915,18.178173411819007,57.34729024573899,17.005554217574474,0.7618871958495153,0.2000515612948959,8.165152617278839,2.507185395086387,91.36918069343496,15.0,81.42935651285835,11.0,213.9894072231907,192.7707634691916,197.6237275405474
wrtds_flow_normalized,-0.9198284402467608,0.0641874076529435,,,,,,680.6016662392121,662.4782669000607,700.7452622744895,676.0755782985547,654.5421169881155,700.1437273998876,671.5795894203338,646.701038082378,699.5427088958197,script_19_wrtds,nao_aplicavel_metodo_univariado_tds,2026-08-14T20:49:01,,,,,,,,,,,,,,,,,,,,,,
balanco_massa,52.198821627428856,1.0123395832119366e-15,,,19.097905019214,2.3914944393721744,0.9409580693070152,993.4457651769898,379.6749825905554,3537.3501914943554,1724.2431083313122,144.5059502929514,6279.745794895334,1557.0420678780074,-1682.635110673782,4636.51308266707,script_20_balanco_massa,nao_aplicavel_metodo_univariado_tds,2026-08-14T20:56:42,,,,,,,,,,,,,,,,,,,,,,
cenario_pdsi_agravamento_climatico,,,,,,,,682.441225345508,560.6194038809473,808.4953596885279,697.4325777601317,576.2126052039004,826.4671320802219,714.2818089717447,591.4497804553826,841.8477059943674,script_21_cenarios,nao_aplicavel_metodo_univariado_tds,2026-08-14T20:58:08,,,,,,,,,,,,,,,,,,,,,,
cenario_pdsi_normal,,,,,,,,662.6368517703501,536.1325008724189,787.9444576117061,658.5483015975246,532.9272170206424,783.7383942166705,657.8943965434282,529.4769763638546,782.8690930170205,script_21_cenarios,nao_aplicavel_metodo_univariado_tds,2026-08-14T20:58:08,,,,,,,,,,,,,,,,,,,,,,
cenario_pdsi_seco,,,,,,,,720.9841779430596,596.044474885689,852.0512345969896,719.9064590145558,594.98436115177,848.2918267084959,717.7977658095696,588.0549760722043,845.8615727212648,script_21_cenarios,nao_aplicavel_metodo_univariado_tds,2026-08-14T20:58:08,,,,,,,,,,,,,,,,,,,,,,
cenario_pdsi_umido,,,,,,,,597.4063392654205,470.4536717434036,720.6217060125979,594.8703810817781,469.75120204207695,723.0570883620635,594.0289670050952,462.3110355465352,721.4563402836022,script_21_cenarios,nao_aplicavel_metodo_univariado_tds,2026-08-14T20:58:08,,,,,,,,,,,,,,,,,,,,,,
espaco_estados_dlm,8.325269617455959,,,,50.155654604906594,39.57615813110223,-0.6001418622154626,785.139510313921,240.61927568242947,1329.6597449454125,826.7658578894938,99.45627167494752,1554.07544410404,868.3922054650665,-36.84967352678507,1773.634084456918,script_22_espaco_estados,nao_aplicavel_metodo_univariado_tds,2026-08-25T13:13:25,local linear trend,"level=local linear trend, seasonal=12, stochastic_seasonal=True, sigma2_seasonal=0.000001",,,,0.5193348091983575,5.661768100436704,84.42565001218149,32.913178753572254,72.95132205144527,30.951509102890256,0.9897864394595534,0.4477325540812572,10.030774214053292,4.19276942018738,191.5177928453774,15.0,237.5229652059681,11.0,,,
gam,9.446843495086318,,,,61.87476410571555,51.68554507246838,-1.4352625699450223,576.5470883183436,394.4543044194856,758.6398722172016,520.8188461830523,285.6684647002171,755.9692276658874,465.09060404776096,173.2398394367159,756.9413686588059,script_23_gam,nao_aplicavel_metodo_univariado_tds,2026-08-25T13:18:50,,"n_splines_tempo=8, termo_sazonal=ciclica (basis='cp'), lam=[[np.float64(1.0)], [np.float64(1000.0)]], edof=4.49, lam_floor_tendencia=1.0, lam_sem_piso=0.0010, forecast_10y_sem_piso=1910.3",,,,0.678239221695163,7.491541404557249,101.65056482763264,53.286473740490365,91.27313664247558,49.23420244135077,1.2328506265665582,0.6762017678326913,12.934058386314533,7.303335813463527,257.0736619463806,15.0,297.98500704034325,11.0,,,
regressao_quantilica_q10,4.363056119211678,0.0164678694012857,,,82.33160290127873,72.76678067970272,,680.3473047048403,664.7658968910677,741.2448382306059,702.1625853008986,681.8965951103324,783.8264188465353,723.977865896957,699.0332270940961,826.4079994624644,script_24_regressao_quantilica,nao_aplicavel_metodo_univariado_tds,2026-08-25T13:25:26,,"quantil=0.1, bootstrap_n=500",,,,,,,,,,,,,,,,,,,,
regressao_quantilica_q50,3.4920823473912823,0.0771829913130132,,,67.93602188163422,58.06342418076201,,759.9002069981814,712.8780302568032,830.0113617755804,777.3606187351378,717.9099190121877,870.8074148392119,794.8210304720942,720.5232983914982,910.2772481472488,script_24_regressao_quantilica,nao_aplicavel_metodo_univariado_tds,2026-08-25T13:25:30,,"quantil=0.5, bootstrap_n=500",,,,,,,,,,,,,,,,,,,,
regressao_quantilica_q90,-3.046923922834865,0.02612315030927,,,82.34446401245364,73.24317898207231,,739.5745561684956,649.9750209764622,780.3494162280778,724.3399365543213,603.3295135341891,777.6830230568268,709.105316940147,558.5078278616769,775.9331817183576,script_24_regressao_quantilica,nao_aplicavel_metodo_univariado_tds,2026-08-25T13:25:34,,"quantil=0.9, bootstrap_n=500",,,,,,,,,,,,,,,,,,,,
intervencao_arimax_eventos,,0.2062570973822068,,,50.90022884982942,40.58812244003322,-0.648003581377405,755.9236602598897,212.847933116504,1298.9993874032757,781.5365542126241,55.04972446563568,1508.0233839596126,807.1494481653584,-97.83302939684596,1712.1319257275627,script_25_intervencao_arimax,nao_aplicavel_metodo_univariado_tds,2026-08-25T13:27:43,"order=(0, 1, 2) seasonal_order=(0, 1, 1, 12) trend=None","coef_seca=48.58(p=0.2063), coef_ordem_conservacao=92.82(p=0.0506)",,,,0.5326142257994653,5.817910683637373,100.47325615607602,53.42685618908569,89.22892677930098,55.06937482672807,1.224904105475392,0.8171967356326326,11.755579656476469,6.161694829909748,154.1238888147167,15.0,161.91548712069817,11.0,,,
chronos_bolt_zero_shot,,,,,55.22953972122345,45.07219441731771,-0.9402671416397022,692.0018310546875,582.5430297851562,799.2233276367188,695.2794189453125,598.359619140625,789.062255859375,691.6405029296875,618.3419799804688,756.15771484375,script_26_modelos_fundacionais,nao_aplicavel_metodo_univariado_tds,2026-08-25T13:32:49,,"modelo=amazon/chronos-bolt-small, zero_shot=True, quantis=[0.1, 0.5, 0.9] (IC80, nao IC90)",,,,0.5914560834916759,6.511953650597614,,,,,,,,,,,,,,,
cenario_pdsi_rcp85_caladapt,,,,,,,,670.2543918581167,543.0466751707283,798.2239917720816,669.7650846954139,538.3236064023138,793.8573751339032,662.4666783651423,540.8192439919519,795.9142494123878,script_27_cenario_climatico_caladapt,nao_aplicavel_metodo_univariado_tds,2026-08-26T09:42:41,,"pdsi_alvo_rcp85=-0.69, mudanca_pct_precip_caladapt=-2.3",,,,,,,,,,,,,,,,,,,,
sarima_com_pdsi,6.233188982794912,3.9223525417116225e-22,,,52.06612126591062,43.33964419614956,-0.7243647343193502,769.5236924656058,269.8782436967124,1269.1691412344992,811.0552723251616,120.51727161294423,1501.5932730373788,852.5869745509541,-34.955335134474694,1740.1292842363828,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,"order=(0, 1, 2) seasonal_order=(0, 1, 1, 12) trend=None","{'coef_pdsi': -10.9842, 'coef_pdsi_p': 0.0}",,,,0.5687208388133953,6.186971339861621,80.61730308667057,25.647144040568545,69.04043184903657,27.366380912661597,0.9371594456050092,0.40794947954498845,9.420053129926368,3.211434026268577,112.63512308267269,15.0,128.87737113720314,11.0,999.2908975377868,1381.0760014244347,1775.0846193708576
random_forest_com_pdsi,-0.6964445807415582,1.0961155022671756e-05,,,39.97919968348473,32.97272456709962,-0.016686070313584267,701.5786720207897,,,701.1044459505636,,,701.5786720207897,,,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,,"{'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 300}",,,,0.6473853351390092,7.132509766103397,63.74493380500068,18.12515423356513,51.097494062864506,17.800898224576553,0.6888478395747002,0.25054529050720586,7.28747033085515,2.7226569449392395,59.53669943183153,15.0,55.38062538032532,11.0,,,
xgboost_com_pdsi,-1.8747535814186858,8.339863600091212e-06,,,42.699206814999314,33.775169372558594,-0.15973375129197898,673.3617553710938,,,673.3617553710938,,,673.3617553710938,,,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300}",,,,0.5304440042286696,5.790404547627901,77.55756031015822,34.15359702282179,66.69967244466146,36.742620023570844,0.9127819427462317,0.5534040618365096,9.510389645915158,5.042411739361717,56.897090657552084,15.0,40.77191716974432,11.0,,,
lightgbm_com_pdsi,-0.892397271519993,3.000584984187792e-07,,,43.73271891130206,37.004508759785146,-0.21655469397434302,699.1490387909561,,,699.1490387909561,,,699.1490387909561,,,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100}",,,,0.4892502238517094,5.293456951365143,65.10321633512959,19.916451252735897,53.171427380612315,15.825330078793971,0.7155465267410419,0.22191213617140018,7.564993304787282,2.451404892366735,49.62506738184836,15.0,44.23394957923219,11.0,,,
prophet_com_pdsi,-4.425967546075313,1.4324211067302234e-11,,,58.00122465991736,49.02768357289614,-1.139897681960349,640.65303763644,551.0826942000489,728.3458663458468,634.3408573950162,530.0251791653887,733.8951917979915,627.9585586492894,505.9783535415415,751.5190844038309,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,,,,,,0.6433616575267694,7.0821099119682005,65.33889008547446,17.058440256821253,56.550969604632144,15.697051221201098,0.7597045727219295,0.22343538687709977,8.015219627068392,2.0488053548907046,148.06162340377293,15.0,227.38635175190112,11.0,177.26317214579797,203.87001263260277,245.54073086228942
regressao_bayesiana_com_pdsi,2.8306751314414815,0.00374999999999992,1.1359118198660416,4.520447535999919,50.36798573140877,41.092613591781635,-0.6137187601369065,708.2033714353904,609.675415948609,807.8838473723985,724.0189685841499,620.7073368391082,828.7980949203288,738.1753783325548,634.329617277689,845.5806592001001,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,,{'coef_pdsi': -19.9982},0.998125,,,0.5392886211533491,5.867697348513328,67.61323077259087,24.609930792285255,53.97719745025836,22.716772735195477,0.7254010169130558,0.302910408462217,7.573992009641756,3.170918931833316,99.5690658731153,15.0,132.9352723961567,11.0,198.20843142378942,208.09075808122066,211.2510419224111
svr_com_pdsi,-0.30033457076451886,0.6159041088602955,,,39.42440662440098,32.494276527887614,0.011335336015513287,724.0899952716908,668.7355146562785,769.4923480352993,714.721855671289,646.3661838583777,776.235798928108,709.9348500226457,649.4085745285884,755.8357177674598,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,,"{'svr__C': 100, 'svr__epsilon': 0.5, 'svr__gamma': 'scale'}",,,,0.47144952827844433,5.112701685097129,59.2627617291315,8.086309211681229,49.88613504991744,4.594861379215328,0.6705962515524082,0.08433603435407713,7.116801596457968,0.7616815004112368,52.6465628526878,15.0,33.47104872227064,11.0,100.7568333790208,129.86961506973034,106.4271432388714
detrend_rf_com_pdsi,3.743706712541596,0.0047251492457397615,,,55.500243271541144,44.37186755575498,-0.9593339096170461,746.6259289295546,604.1084843974796,889.1433734616295,765.3444624922626,590.7969532177685,939.8919717667566,784.0629960549705,582.5128931229549,985.6130989869862,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 300}",,,,0.709177643458249,7.663272877764022,64.8834203507069,18.057612978460533,55.72573683113542,18.98391246872938,0.7555385149882796,0.2922062074219704,7.742397349667391,2.1775309396664926,109.99322548780752,15.0,148.8870608101711,11.0,285.0348890641499,349.09501854898815,403.1002058640314
hibrido_arima_prophet_com_pdsi,0.903610718359799,0.10385603151554279,,,54.29991706420472,45.31180245984131,-0.875499763753681,705.088365051023,269.8782436967124,1269.1691412344992,722.6980648600888,120.51727161294423,1501.5932730373788,740.2727666001217,-34.955335134474694,1740.1292842363828,script_29_bateria_pdsi_covariavel,nao_aplicavel_metodo_univariado_tds,2026-09-07T21:27:53,"order=(0, 1, 2) seasonal_order=(0, 1, 1, 12) trend=None",,,,,0.5946003198936574,6.501350704160248,67.14917763245637,19.160044060880224,58.95681622848118,18.778043207158245,0.797625982214963,0.28744968023864026,8.198057977246838,2.1261408941550517,116.94722101537737,15.0,151.20623750904434,11.0,999.2908975377868,1381.0760014244347,1775.0846193708576
